id,date,matchweek,home_team_id,away_team_id,home_team_score,away_team_score,attendance,youtube_id
1,8/11/2023,1,6,13,0,3,"21,572",GSBW5EJSWUA
2,8/19/2023,2,13,15,1,0,"53,419",RX2iVdaT5Bw
3,8/27/2023,3,17,13,1,2,"31,336",eyKa-xvHDQA
4,9/2/2023,4,13,10,5,1,"52,899",VsVPhT5qGQU
5,9/16/2023,5,19,13,1,3,"62,475",gsMPK2m2RQM
6,9/23/2023,6,13,16,2,0,"53,413",xyeKLqD7hUI
7,9/30/2023,7,20,13,2,1,"31,415",NXs3UT92fKw
8,10/8/2023,8,1,13,1,0,"60,233",40G8ZtncaP0
9,10/21/2023,9,13,5,2,1,"53,466",qKa-odmN1_E
10,10/29/2023,10,14,13,0,3,"73,502",zz42pQ-2ytI
11,11/4/2023,11,13,3,6,1,"53,358",-akZetJ97o8
12,11/12/2023,12,7,13,4,4,"39,532",wtoHZg0RstQ
13,11/25/2023,13,13,11,1,1,"53,289",yoD5IomblPU
14,12/3/2023,14,13,18,3,3,"53,473",gLYCjQpxzF4
15,12/6/2023,15,2,13,1,0,"41,421",sJ6zjc8_PDc
16,12/10/2023,16,12,13,1,2,"11,047",9-6bpJKULic
17,12/16/2023,17,13,8,2,2,"53,248",QSGrnmrgBd8
18,12/27/2023,19,9,13,1,3,"39,327",JomUqREMyz8
19,12/30/2023,20,13,17,2,0,"53,108",f7GMBiouaHo
20,1/13/2024,21,15,13,2,3,"52,190",6QotUnAR-yE
21,1/31/2024,22,13,6,3,1,"52,143",SgkTQBuH4w0
22,2/5/2024,23,4,13,1,3,"17,096",RcS4cnNCC1I
23,2/10/2024,24,13,9,2,0,"52,187",7yLxzGzRKpo
24,2/17/2024,25,13,7,1,1,"52,178",hEWwpuKo7O0
25,2/20/2024,18,13,4,1,0,"52,247",lOOwgLESPVo
26,2/24/2024,26,3,13,0,1,"11,184",aXe7-IN0tdY
27,3/3/2024,27,13,14,3,1,"53,514",2pMc8NOd2Xw
28,3/10/2024,28,11,13,1,1,"59,947",wTEa0mavAmI
29,3/31/2024,30,13,1,0,0,"52,178",e1vcJVYLark
30,4/3/2024,31,13,2,4,1,"53,422",AVtbt9CWUOM
31,4/6/2024,32,8,13,2,4,"25,132",SyIuY8IYnsA
32,4/13/2024,33,13,12,5,1,"52,149",dFkP17mShfg
33,4/25/2024,29,5,13,0,4,"31,596",uH_DAJ1vPVo
34,4/28/2024,35,16,13,0,2,"29,677",pcs9FMgi32I
35,5/4/2024,36,13,20,5,1,"52,439",2hSlHstFF-8
36,5/11/2024,37,10,13,0,4,"24,418",p5IxV2FpOTo
37,5/14/2024,34,18,13,0,2,"61,065",Q2DO3ryk61c
38,5/19/2024,38,13,19,3,1,"55,097",Tb2L57NUuYM
39,8/12/2023,1,1,16,2,1,"59,984",vK_LDhztHIE
40,8/21/2023,2,8,1,0,1,"24,189",4e_PCXIbrcM
41,8/26/2023,3,1,10,2,2,"59,961",DMmK4XW0UPc
42,9/3/2023,4,1,14,3,1,"60,192",lyb91a7iVW0
43,9/17/2023,5,9,1,0,1,"39,217",hI9GjOGnWbw
44,9/24/2023,6,1,18,2,2,"60,156",D0hhABqMFb8
45,9/30/2023,7,3,1,0,4,"11,193",J4uiui5kGGo
46,10/21/2023,9,7,1,2,2,"39,723",G1-aQ0hD0j4
47,10/28/2023,10,1,17,5,0,"60,153",PBL9bNH-st4
48,11/4/2023,11,15,1,1,0,"52,194",mMDfOpSw_4Q
49,11/11/2023,12,1,6,3,1,"60,232",DTqyKPkFre4
50,11/25/2023,13,4,1,0,1,"17,201",IufvVvJwUxY
51,12/2/2023,14,1,20,2,1,"60,262",ybShWsPvmMY
52,12/5/2023,15,12,1,3,4,"11,031",caUu2zqLBwk
53,12/9/2023,16,2,1,1,0,"42,000",M7SKKkw-Scw
54,12/17/2023,17,1,5,2,0,"60,257",ib_6IBJ26a0
55,12/23/2023,18,11,1,1,1,"57,548",gNC0cUJCpTo
56,12/28/2023,19,1,19,0,2,"60,261",jk6x9jXaknk
57,12/31/2023,20,10,1,2,1,"24,444",6DuYcL7MB8I
58,1/20/2024,21,1,8,5,0,"60,284",pyuwEIogLuE
59,1/30/2024,22,16,1,1,2,"29,387",-t_pf7NOVCo
60,2/4/2024,23,1,11,3,1,"60,374",cdc8-AAQu84
61,2/11/2024,24,19,1,0,6,"62,475",klfMy_eNOvw
62,2/17/2024,25,6,1,0,5,"21,311",2rjglTkhLwU
63,2/24/2024,26,1,15,4,1,"60,298",_nBhtm52rJg
64,3/4/2024,27,17,1,0,6,"29,157",pQqvjQUTQaE
