id,player_name,team_id,age,position,nationality,height,weight,jersey_number
1,Adrian,11,37,Goalkeeper,Spain,190,80,13
2,Alisson,11,31,Goalkeeper,Brazil,193,91,1
3,Caoimhin Kelleher,11,25,Goalkeeper,Ireland,188,74,62
4,Fabian Mrozek,11,20,Goalkeeper,Poland,192,0,93
5,Marcelo Pitaluga,11,21,Goalkeeper,Brazil,192,77,45
6,Vitezslav Jaros,11,22,Goalkeeper,Czech Republic,187,73,56
7,Andrew Robertson,11,29,Defender,Scotland,178,64,26
8,Calum Scanlon,11,18,Defender,England,0,0,48
9,Conor Bradley,11,20,Defender,Northern Ireland,180,64,84
10,Ibrahima Konate,11,24,Defender,France,194,95,5
11,Jarell Quansah,11,20,Defender,England,0,0,78
12,Joe Gomez,11,26,Defender,England,188,77,2
13,Joel Matip,11,32,Defender,Cameroon,195,90,32
14,Kostas Tsimikas,11,27,Defender,Greece,179,77,21
15,Luke Chambers,11,19,Defender,England,0,0,44
16,Trent Alexander-Arnold,11,25,Defender,England,175,72,66
17,Virgil van Dijk,11,32,Defender,Netherlands,195,92,4
18,Alexis Mac Allister,11,25,Midfielder,Argentina,176,69,10
19,Bobby Clark,11,18,Midfielder,England,178,0,42
20,Curtis Jones,11,22,Midfielder,England,185,75,17
21,Dominik Szoboszlai,11,23,Midfielder,Hungary,186,74,8
22,Harvey Elliott,11,20,Midfielder,England,170,64,19
23,James McConnell,11,19,Midfielder,England,0,0,53
24,Ryan Gravenberch,11,21,Midfielder,Netherlands,190,83,38
25,Stefan Bajcetic,11,19,Midfielder,Spain,185,77,43
26,Thiago,11,32,Midfielder,Spain,174,70,6
27,Thomas Hill,11,21,Midfielder,Wales,172,62,83
28,Treymaurice Nyoni,11,16,Midfielder,England,0,0,98
29,Wataru Endo,11,30,Midfielder,Japan,178,76,3
30,Ben Doak,11,18,Forward,Scotland,0,0,50
31,Cody Gakpo,11,24,Forward,Netherlands,193,76,18
32,Darwin Nunez,11,24,Forward,Uruguay,187,81,9
33,Diogo Jota,11,27,Forward,Portugal,178,68,20
34,Kaide Gordon,11,19,Forward,England,0,0,49
35,Lewis Koumas,11,18,Forward,Wales,0,0,67
36,Luis Diaz,11,26,Forward,Colombia,178,65,7
37,Mohamed Salah,11,31,Forward,Egypt,175,71,11
38,Emiliano Martinez,2,31,Goalkeeper,Argentina,195,88,1
39,Filip Marschall,2,20,Goalkeeper,England,195,87,42
