id,stadium_name,location,capacity
1,Emirates Stadium,London," 60,704 "
2,Villa Park,Birmingham," 42,657 "
3,Dean Court,Bournemouth," 11,307 "
4,Brentford Community Stadium,London," 17,250 "
5,Falmer Stadium,Brighton and Hove," 31,876 "
6,Turf Moor,Burnley," 21,944 "
7,Stamford Bridge,London," 40,173 "
8,Selhurst Park,London," 25,486 "
9,Goodison Park,Liverpool," 39,414 "
10,Craven Cottage,London," 24,500 "
11,Anfield,Liverpool," 61,276 "
12,Kenilworth Road,Luton," 12,000 "
13,City of Manchester Stadium,Manchester," 53,400 "
14,Old Trafford,Manchester," 74,031 "
15,St James' Park,Newcastle upon Tyne," 52,257 "
16,City Ground,West Bridgford," 30,404 "
17,Bramall Lane,Sheffield," 32,050 "
18,Tottenham Hotspur Stadium,London," 62,850 "
19,London Stadium,London," 62,500 "
20,Molineux Stadium,Wolverhampton," 31,750 "
